ID,Workclass,Education,Education num,Marital status,Occupation,Relationship,Race,Sex,Age,Work hours per week,Native country,Income
54,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,42,40,New Zealand,>85K
55,Private,Masters,14,Never-married,Sales,Not-in-family,White,Male,39,45,New Zealand,>85K
56,Private,Bachelors,13,Never-married,Exec-managerial,Other-relative,White,Male,32,50,New Zealand,>85K
57,Private,Some-college,10,Separated,Craft-repair,Not-in-family,White,Male,53,45,New Zealand,>85K
58,Government,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,40,40,New Zealand,>85K
59,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,38,45,New Zealand,>85K
60,Private,Assoc-voc,11,Separated,Craft-repair,Not-in-family,White,Male,33,42,New Zealand,>85K
61,Private,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,White,Male,43,70,New Zealand,>85K
62,Self-emp-inc,11th,7,Never-married,Exec-managerial,Other-relative,White,Male,50,40,New Zealand,>85K
63,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,44,6,New Zealand,>85K
64,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,51,40,China,>85K
65,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,41,40,New Zealand,>85K
66,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,60,70,?,>85K
67,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,37,60,New Zealand,>85K
68,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,35,Greece,>85K
69,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,39,60,New Zealand,>85K
70,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,42,60,New Zealand,>85K
71,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,49,55,New Zealand,>85K
72,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,47,50,New Zealand,>85K
73,Government,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,41,45,New Zealand,>85K
74,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,50,New Zealand,>85K
75,Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,39,65,New Zealand,>85K
76,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,42,60,New Zealand,>85K
77,?,Assoc-voc,11,Married-civ-spouse,?,Husband,White,Male,41,12,New Zealand,>85K
78,Private,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,46,65,New Zealand,>85K
79,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,45,New Zealand,>85K
80,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,32,48,New Zealand,>85K
81,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,41,55,New Zealand,>85K
82,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,80,New Zealand,>85K
83,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,31,70,Taiwan China,>85K
84,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,58,40,New Zealand,>85K
85,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,37,50,New Zealand,>85K
86,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,44,50,New Zealand,>85K
87,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,39,50,?,>85K
88,Government,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,43,55,?,>85K
89,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,50,New Zealand,>85K
90,Self-emp-inc,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,44,55,New Zealand,>85K
91,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,39,67,India,>85K
92,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,46,40,New Zealand,>85K
93,Private,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,39,99,New Zealand,>85K
94,Self-emp-inc,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,62,60,New Zealand,>85K
95,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,31,40,New Zealand,>85K
96,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,46,35,Philippines,>85K
97,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,46,80,New Zealand,>85K
98,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,39,40,New Zealand,>85K
99,Private,Prof-school,15,Married-civ-spouse,Sales,Husband,White,Male,39,99,New Zealand,>85K
100,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,59,45,New Zealand,>85K
101,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,60,New Zealand,>85K
102,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,46,55,New Zealand,>85K
103,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,53,40,New Zealand,>85K
104,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,30,New Zealand,>85K
105,Self-emp-inc,Prof-school,15,Married-civ-spouse,Exec-managerial,Wife,White,Female,41,55,New Zealand,>85K
106,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,36,45,New Zealand,>85K
107,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,38,90,New Zealand,>85K
108,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,54,50,New Zealand,>85K
109,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,50,20,New Zealand,>85K
110,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,47,60,New Zealand,>85K
111,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,47,45,New Zealand,>85K
112,Private,Bachelors,13,Widowed,Exec-managerial,Not-in-family,White,Male,67,40,New Zealand,>85K
113,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,67,75,New Zealand,>85K
114,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,72,25,New Zealand,>85K
115,?,Doctorate,16,Married-civ-spouse,?,Husband,White,Male,72,6,New Zealand,>85K
116,Self-emp-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,46,50,New Zealand,>85K
117,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,78,40,New Zealand,>85K
118,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,71,60,New Zealand,>85K
119,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,83,55,New Zealand,>85K
120,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,68,40,New Zealand,>85K
121,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,26,45,New Zealand,<=85K
122,Government,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,68,60,New Zealand,>85K
123,Self-emp-inc,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,49,40,New Zealand,>85K
124,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,36,60,New Zealand,<=85K
125,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,70,12,New Zealand,>85K
126,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,27,20,New Zealand,<=85K
127,Government,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,35,40,New Zealand,<=85K
128,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,23,40,New Zealand,<=85K
129,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,81,26,New Zealand,>85K
130,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Sales,Husband,White,Male,66,25,New Zealand,>85K
131,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,71,45,New Zealand,>85K
132,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,68,55,New Zealand,>85K
133,Government,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,68,42,?,>85K
134,?,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,65,40,New Zealand,>85K
135,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,52,40,New Zealand,<=85K
136,Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,40,50,New Zealand,<=85K
137,?,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,68,35,New Zealand,>85K
138,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,21,48,New Zealand,<=85K
139,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,35,40,New Zealand,<=85K
140,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,50,New Zealand,>85K
141,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,61,50,New Zealand,<=85K
142,Self-emp-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,65,65,New Zealand,<=85K
143,Private,5th-6th,3,Divorced,Craft-repair,Not-in-family,White,Female,46,45,New Zealand,<=85K
144,Government,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,26,55,New Zealand,<=85K
145,Government,HS-grad,9,Widowed,Farming-fishing,Unmarried,White,Male,59,40,New Zealand,<=85K
146,Private,5th-6th,3,Never-married,Handlers-cleaners,Not-in-family,Black,Male,61,40,New Zealand,<=85K
147,Government,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,60,40,New Zealand,<=85K
148,Self-emp-inc,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,49,50,New Zealand,<=85K
149,Private,Bachelors,13,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,34,40,?,<=85K
150,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,25,35,New Zealand,<=85K
151,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,55,45,?,<=85K
152,Government,HS-grad,9,Separated,Protective-serv,Other-relative,Black,Female,59,40,New Zealand,<=85K
153,Government,Some-college,10,Separated,Exec-managerial,Own-child,White,Male,28,40,New Zealand,<=85K
154,?,Assoc-voc,11,Widowed,?,Not-in-family,White,Female,43,36,New Zealand,<=85K
155,Self-emp-not-inc,Masters,14,Divorced,Sales,Unmarried,White,Female,56,60,New Zealand,<=85K
156,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,41,40,New Zealand,<=85K
157,Private,HS-grad,9,Never-married,Adm-clerical,Other-relative,Black,Female,42,40,Trinadad&Tobago,<=85K
158,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,28,40,Canada,<=85K
159,Self-emp-not-inc,Prof-school,15,Divorced,Other-service,Not-in-family,White,Female,40,35,New Zealand,<=85K
160,Private,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Male,69,40,New Zealand,>85K
161,Government,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,66,40,New Zealand,<=85K
162,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,69,40,New Zealand,<=85K
163,Government,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,55,40,New Zealand,<=85K
164,Government,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,57,40,New Zealand,<=85K
165,Self-emp-not-inc,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,20,10,New Zealand,<=85K
166,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,33,84,New Zealand,<=85K
167,Self-emp-not-inc,Some-college,10,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,30,40,South,<=85K
168,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,40,48,Philippines,<=85K
169,Private,Some-college,10,Separated,Machine-op-inspct,Not-in-family,White,Male,38,55,New Zealand,>85K
170,Government,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Male,46,38,New Zealand,>85K
171,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,29,45,New Zealand,>85K
172,Government,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,57,40,New Zealand,<=85K
173,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,39,42,New Zealand,>85K
174,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,47,40,New Zealand,>85K
175,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,26,45,New Zealand,>85K
176,Self-emp-not-inc,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,27,50,New Zealand,<=85K
177,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,23,40,New Zealand,>85K
178,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,34,50,New Zealand,<=85K
179,Private,12th,8,Divorced,Craft-repair,Not-in-family,White,Male,33,42,New Zealand,<=85K
180,Government,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,38,60,New Zealand,<=85K
181,Private,Some-college,10,Widowed,Adm-clerical,Unmarried,White,Female,57,38,New Zealand,>85K
182,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,36,70,New Zealand,<=85K
183,Government,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Male,44,40,New Zealand,>85K
184,Government,Doctorate,16,Never-married,Exec-managerial,Not-in-family,White,Female,49,50,New Zealand,>85K
185,Self-emp-inc,Some-college,10,Never-married,Sales,Not-in-family,White,Male,44,60,New Zealand,<=85K
186,Private,Some-college,10,Widowed,Farming-fishing,Not-in-family,White,Male,55,62,New Zealand,>85K
187,Private,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,45,44,New Zealand,>85K
188,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,48,40,New Zealand,>85K
189,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,31,45,New Zealand,>85K
190,Government,HS-grad,9,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,55,40,New Zealand,>85K
191,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,40,New Zealand,>85K
192,Self-emp-not-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,8,New Zealand,>85K
193,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,73,40,New Zealand,>85K
194,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,72,28,New Zealand,>85K
195,Private,HS-grad,9,Separated,Machine-op-inspct,Unmarried,White,Female,31,40,New Zealand,<=85K
196,Private,10th,6,Widowed,Adm-clerical,Unmarried,White,Female,28,35,New Zealand,<=85K
197,Self-emp-not-inc,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,23,40,New Zealand,>85K
198,Government,9th,5,Widowed,Handlers-cleaners,Unmarried,White,Male,49,40,New Zealand,>85K
199,Government,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,27,40,New Zealand,>85K
200,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,90,40,New Zealand,<=85K
201,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,68,30,New Zealand,<=85K
202,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,65,59,Canada,<=85K
203,?,HS-grad,9,Widowed,?,Unmarried,White,Female,65,10,New Zealand,<=85K
204,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,67,5,New Zealand,<=85K
205,Government,Bachelors,13,Widowed,Prof-specialty,Not-in-family,Black,Female,66,25,New Zealand,<=85K
206,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,24,24,New Zealand,<=85K
207,Self-emp-not-inc,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,44,35,New Zealand,<=85K
208,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,35,40,New Zealand,<=85K
209,Private,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Female,20,18,New Zealand,<=85K
210,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,38,40,New Zealand,<=85K
211,Private,Some-college,10,Never-married,Other-service,Own-child,Black,Female,39,40,New Zealand,<=85K
212,Private,Some-college,10,Never-married,Machine-op-inspct,Other-relative,White,Female,32,40,Holand-Netherlands,<=85K
213,Private,7th-8th,4,Never-married,Handlers-cleaners,Not-in-family,Black,Male,42,40,New Zealand,<=85K
214,?,HS-grad,9,Divorced,?,Not-in-family,White,Female,63,40,New Zealand,<=85K
215,Self-emp-inc,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,42,60,India,>85K
216,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,64,40,New Zealand,<=85K
217,Private,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,28,40,Puerto-Rico,<=85K
218,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Sales,Husband,Other,Male,41,84,Mexico,<=85K
219,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,41,40,New Zealand,<=85K
220,Self-emp-not-inc,1st-4th,2,Married-civ-spouse,Transport-moving,Husband,White,Male,58,18,New Zealand,<=85K
221,Government,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,59,40,New Zealand,<=85K
222,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Wife,White,Female,34,12,New Zealand,<=85K
223,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,45,45,New Zealand,<=85K
224,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,29,40,New Zealand,<=85K
225,Private,10th,6,Married-civ-spouse,Sales,Husband,White,Male,47,52,New Zealand,<=85K
226,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,40,New Zealand,<=85K
227,Self-emp-not-inc,5th-6th,3,Married-civ-spouse,Sales,Husband,White,Male,47,50,Mexico,<=85K
228,?,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,63,45,New Zealand,<=85K
229,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,41,40,New Zealand,<=85K
230,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,34,40,New Zealand,<=85K
231,?,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,66,40,New Zealand,>85K
232,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,65,10,New Zealand,>85K
233,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,70,40,New Zealand,>85K
234,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,75,50,New Zealand,>85K
235,Government,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,65,40,New Zealand,>85K
236,Government,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,65,40,New Zealand,>85K
237,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,73,50,New Zealand,>85K
238,?,Bachelors,13,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,60,25,South,<=85K
239,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,68,40,New Zealand,<=85K
240,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,74,20,New Zealand,<=85K
241,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,43,72,?,<=85K
242,Self-emp-not-inc,11th,7,Married-civ-spouse,Craft-repair,Own-child,White,Male,19,55,New Zealand,<=85K
243,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,37,40,New Zealand,<=85K
244,Government,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,45,40,Philippines,<=85K
245,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,64,60,China,<=85K
246,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,30,40,New Zealand,<=85K
247,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,51,60,Canada,<=85K
248,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,35,40,New Zealand,<=85K
249,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,29,20,New Zealand,<=85K
250,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,34,40,New Zealand,<=85K
251,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,41,60,New Zealand,<=85K
252,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,35,45,New Zealand,<=85K
253,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,26,40,New Zealand,<=85K
254,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,54,50,New Zealand,<=85K
255,Government,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,52,40,New Zealand,<=85K
